wallet,total_abit,total_wei,claims,cartridges,first_claim_at,last_claim_at
0xb117404c6c97fbc448f200e7298f9b4f7bb01432,6130,6130446744073709551614,103,3,2025-10-01T20:15:51.863Z,2025-10-03T12:40:00.001Z
0x8e5f61ea708d141a5f8054acf0f0e01437712a1f,6080,6080000000000000000000,89,1,2025-10-01T20:09:59.999Z,2025-10-01T21:47:27.412Z
0x38f55f77ce4087e1c3fbf4873fec69f2a2c2037e,6058,6058446744073709551614,90,2,2025-10-01T21:47:27.412Z,2025-10-03T19:30:00.005Z
0xd87a8851aa1a641585703c8fd40fb78ffc471f44,5824,5824000000000000000000,83,2,2025-10-01T20:30:00.000Z,2025-10-01T21:20:00.001Z
0x9198f65fbaa0f5f7fd0a2a9f5417ea897f6e278a,5794,5794446744073709551614,82,3,2025-10-01T20:15:51.863Z,2025-10-02T09:10:00.003Z
0x418f835a3cc8c7f3ed321b4604c3b8ffe7d33e27,5698,5698446744073709551614,83,3,2025-10-01T20:09:59.999Z,2025-10-03T08:40:00.002Z
0xdca1080f5f82ed39d8cff736a3a48b842db8a371,5474,5474446744073709551614,78,3,2025-10-01T20:50:00.000Z,2025-10-02T03:02:36.431Z
0x42d25912dc9945236c646f72d179bfe4547b8fb1,5288,5288000000000000000000,82,2,2025-10-02T14:10:08.629Z,2025-10-03T13:00:00.002Z
0x7609f6a37516adbd9a3f0bd7b616790717640bad,4696,4696000000000000000000,70,2,2025-10-01T20:40:00.000Z,2025-10-01T21:20:00.001Z
0xf46d1c19c3d99397be49110bb0d818e7b5dbf5be,4522,4522446744073709551614,74,3,2025-10-01T20:09:59.999Z,2025-10-02T15:30:08.629Z
0x26cb75e05129e3a3897b23081b158202088de211,4106,4106446744073709551614,64,3,2025-10-01T20:05:41.156Z,2025-10-02T06:30:00.003Z
0x32aa2bf83034c46a9b1aa71b0c89d3948546600c,4056,4056000000000000000000,57,2,2025-10-02T13:30:08.629Z,2025-10-03T19:50:00.007Z
0xac1384543e0306d59dbc39ee4452ba8566b92ba7,3768,3768000000000000000000,55,4,2025-10-01T20:09:59.999Z,2025-10-01T23:10:00.002Z
0xd48492a874c0c487c1d545cd9cce6802443b8f47,3754,3754446744073709551614,51,2,2025-10-01T20:40:00.000Z,2025-10-02T03:02:36.431Z
0x305bf946250a380b160ae6fd4df64aeea7813677,3664,3664000000000000000000,53,1,2025-10-03T13:50:00.003Z,2025-10-03T14:20:00.003Z
0xc21fa08c09b8dc922492485c1190c5a6b25fe0dd,3608,3608000000000000000000,47,2,2025-10-01T20:05:41.156Z,2025-10-03T18:30:00.005Z
0x72c2f4968360a0ca3864f4f5f94699668bbea1cf,3320,3320000000000000000000,59,2,2025-10-03T15:40:00.003Z,2025-10-03T18:00:00.005Z
0xbff395770ea348d164a32aed959acd2c4da3be4a,3064,3064000000000000000000,47,1,2025-10-03T15:20:00.003Z,2025-10-03T16:20:00.003Z
0x0a66f418d9b49966142d17873c77d292e89bab7a,2898,2898446744073709551614,52,3,2025-10-01T22:40:00.001Z,2025-10-03T08:50:00.002Z
0x85cb832afa8c99306b6c2b5d663cb52bd3b428d2,2802,2802446744073709551614,39,3,2025-10-01T20:05:41.156Z,2025-10-02T03:02:36.431Z
0x713cdb760c564cdd2ca1577f2040c3e8760a0394,2608,2608000000000000000000,38,2,2025-10-02T05:40:00.003Z,2025-10-03T05:30:00.003Z
0xadd713c556ded3176b9f07d37af3c6a019d1a76b,2570,2570446744073709551614,42,2,2025-10-01T20:30:00.000Z,2025-10-03T12:30:00.001Z
0xc860c87124e86e5dd4435099c9d494c9f144e70f,2386,2386446744073709551614,39,3,2025-10-01T20:20:00.000Z,2025-10-02T03:02:36.431Z
0x72b9548ef1760912c9f75780f4ac93445a539864,2298,2298446744073709551614,37,2,2025-10-01T20:20:00.000Z,2025-10-02T03:02:36.431Z
0x007d9a0e8607ec48d22a9dc732e441f5af121079,2290,2290446744073709551614,39,3,2025-10-01T20:09:59.999Z,2025-10-02T03:02:36.431Z
0x6779081f37ad502a31d14b348c7c1d248a2cf117,2216,2216000000000000000000,34,1,2025-10-01T01:00:00.000Z,2025-10-03T18:20:00.005Z
0xd19143c4cc9f90a2794f7ce75c32e42c52de00be,2178,2178446744073709551614,32,2,2025-10-01T20:05:41.156Z,2025-10-02T03:02:36.431Z
0xd2e931ded7b86e557cb40ffb763058629946ae91,2170,2170446744073709551614,32,3,2025-10-01T20:30:00.000Z,2025-10-02T08:20:00.003Z
0x500f4b35b63647f35da882ee4b8179e6fd669cdb,2074,2074446744073709551614,32,3,2025-10-01T22:15:00.753Z,2025-10-02T16:30:08.629Z
0x634989990acb7f95d07ac09a6c35491ac8dfa3cf,2058,2058446744073709551614,31,2,2025-10-01T13:00:00.989Z,2025-10-02T03:02:36.431Z
0x1afdadabcb391f4e7e54d93811c446b047b1ecca,1778,1778446744073709551614,28,3,2025-10-01T20:20:00.000Z,2025-10-02T03:02:36.431Z
0xefad1e55ab05548439b42ea1598b4284de8b7c01,1778,1778446744073709551614,32,2,2025-10-01T20:30:00.000Z,2025-10-02T03:02:36.431Z
0x0b1b37ad1b52bbe7bfbf6f3a8f7f836d5a34c795,1754,1754446744073709551614,28,3,2025-10-01T21:47:27.412Z,2025-10-02T03:02:36.431Z
0x03a40487a5015b4798e24695848b851f82df45cc,1714,1714446744073709551614,26,3,2025-10-01T20:15:51.863Z,2025-10-02T03:02:36.431Z
0x1aecca920e459107b132bf20e2423102bfe52d1a,1658,1658446744073709551614,30,3,2025-10-01T20:09:59.999Z,2025-10-03T14:20:00.003Z
0x909102dbf4a1bc248bc5f9eedad589e7552ad164,1632,1632000000000000000000,26,3,2025-10-01T00:20:00.004Z,2025-10-03T12:20:00.001Z
0x457cda89ca4119319d4c26679961d072a1d5be2e,1616,1616000000000000000000,27,1,2025-10-03T03:30:00.003Z,2025-10-03T04:50:00.003Z
0x8e551ed2e4cdc7e4d2ffb9e06d6f0f039f6a8965,1610,1610446744073709551614,33,3,2025-10-01T20:40:00.000Z,2025-10-02T03:02:36.431Z
0x66de8cb74cbaae89d7400e3a4730d25da8574d21,1530,1530446744073709551614,21,3,2025-10-01T20:09:59.999Z,2025-10-02T03:02:36.431Z
0x595f27858b68324fd9f862ee1ba488ce17be7715,1458,1458446744073709551614,22,3,2025-10-01T22:10:25.313Z,2025-10-02T08:40:00.003Z
0xdf4942b8add3c32bdfee9af38cc09e033f4dc0c9,1456,1456000000000000000000,24,2,2025-10-01T20:15:51.863Z,2025-10-01T21:10:00.000Z
0x27fdcc8d7427432e9ec3c48a6bae6ee765d6c93b,1416,1416000000000000000000,23,2,2025-10-01T22:30:00.001Z,2025-10-02T06:20:00.003Z
0x62ed759378160d283ff9c01660b3f55ca1c33e77,1344,1344000000000000000000,19,1,2025-10-03T03:30:00.003Z,2025-10-03T03:40:00.003Z
0xddae0cf655f02e6e6f239f6c6ea03ac290c2b7bf,1306,1306446744073709551614,24,3,2025-10-01T22:10:25.313Z,2025-10-02T12:00:00.004Z
0x2992614c402454e69afdf97025a77fe03f3f46fb,1266,1266446744073709551614,19,3,2025-10-01T20:05:41.156Z,2025-10-02T03:02:36.431Z
