rank,team_slug,name,emoji,color,members,total_abit,total_wei
1,dengs,"Dengs",,#F8C471,10,118464,118464000000000000000000
2,geez,"Geez",,#FF6B6B,7,69592,69592000000000000000000
3,goobaloos,"Goobaloos",,#45B7D1,2,5848,5848000000000000000000
4,zards,"Zards",,#4ECDC4,6,3392,3392000000000000000000
5,eyeverse,"Eyeverse",,#AED6F1,6,2920,2920000000000000000000
6,gobs,"Gobs",,#F7DC6F,2,608,608000000000000000000
7,typical-tigers,"Typical Tigers",,#BB8FCE,3,272,272000000000000000000
8,alpha-dogs,"Alpha Dogs",,#98D8C8,2,96,96000000000000000000
9,froglings,"Froglings",,#A9DFBF,1,8,8000000000000000000
